route,model,target_variant,macro_AUROC,macro_PR_AUC,macro_MCC,macro_balanced_acc,worst_site_AUROC
CORE_CC,catboost,log1p,0.9212,0.9182,0.6656,0.8294,0.9079
CORE_CC,catboost,raw,0.9139,0.9098,0.6281,0.8056,0.8962
CORE_CC,elastic_net,log1p,0.8729,0.8575,0.583,0.7923,0.8396
CORE_CC,elastic_net,raw,0.9227,0.9176,0.6386,0.8106,0.9094
CORE_CC,extra_trees,log1p,0.9205,0.9153,0.6614,0.828,0.9088
CORE_CC,extra_trees,raw,0.921,0.9166,0.6508,0.8181,0.9078
CORE_CC,hist_gradient_boosting,log1p,0.9136,0.9108,0.6521,0.822,0.8967
CORE_CC,hist_gradient_boosting,raw,0.9081,0.9053,0.6184,0.8045,0.8927
CORE_CC,lightgbm,log1p,0.9127,0.9109,0.6487,0.8191,0.9001
CORE_CC,lightgbm,raw,0.8995,0.8943,0.6038,0.7962,0.8849
CORE_CC,random_forest,log1p,0.9153,0.9115,0.6617,0.8262,0.8993
CORE_CC,random_forest,raw,0.9172,0.9136,0.6593,0.8221,0.9003
CORE_CC,ridge,log1p,0.8726,0.8574,0.5814,0.7914,0.8389
CORE_CC,ridge,raw,0.9209,0.9169,0.638,0.8086,0.9086
CORE_CC,tabdpt,log1p,0.923,0.9184,0.6735,0.8338,0.9096
CORE_CC,tabdpt,raw,0.9237,0.92,0.6625,0.8249,0.9092
CORE_CC,tabicl,log1p,0.9229,0.9182,0.6791,0.8361,0.9103
CORE_CC,tabicl,raw,0.9235,0.9198,0.6698,0.8301,0.9098
CORE_CC,tabpfn_v2,log1p,0.9233,0.9185,0.6769,0.8348,0.91
CORE_CC,tabpfn_v2,raw,0.9239,0.9195,0.6739,0.8308,0.9085
CORE_CC,xgboost,log1p,0.9174,0.9154,0.6612,0.8257,0.9053
CORE_CC,xgboost,raw,0.9057,0.904,0.5945,0.7898,0.8952
EXTENDED_FOLD_IMPUTED,catboost,log1p,0.9207,0.9162,0.6528,0.8223,0.9076
EXTENDED_FOLD_IMPUTED,catboost,raw,0.9109,0.9017,0.6259,0.8045,0.898
EXTENDED_FOLD_IMPUTED,elastic_net,log1p,0.8715,0.8581,0.5977,0.7964,0.836
EXTENDED_FOLD_IMPUTED,elastic_net,raw,0.9201,0.9125,0.6288,0.8023,0.8966
EXTENDED_FOLD_IMPUTED,extra_trees,log1p,0.9175,0.9119,0.6483,0.8185,0.9066
EXTENDED_FOLD_IMPUTED,extra_trees,raw,0.9176,0.9119,0.6364,0.8081,0.9017
EXTENDED_FOLD_IMPUTED,hist_gradient_boosting,log1p,0.9165,0.9122,0.6472,0.8169,0.9012
EXTENDED_FOLD_IMPUTED,hist_gradient_boosting,raw,0.907,0.9009,0.6185,0.8004,0.8706
EXTENDED_FOLD_IMPUTED,lightgbm,log1p,0.9138,0.911,0.6501,0.8185,0.9017
EXTENDED_FOLD_IMPUTED,lightgbm,raw,0.8952,0.8895,0.6033,0.7905,0.8694
EXTENDED_FOLD_IMPUTED,random_forest,log1p,0.9149,0.9112,0.6619,0.8258,0.9016
EXTENDED_FOLD_IMPUTED,random_forest,raw,0.9159,0.9129,0.6449,0.8139,0.8986
EXTENDED_FOLD_IMPUTED,ridge,log1p,0.8585,0.8388,0.5617,0.7769,0.8088
EXTENDED_FOLD_IMPUTED,ridge,raw,0.9098,0.9,0.5793,0.7704,0.8802
EXTENDED_FOLD_IMPUTED,xgboost,log1p,0.9175,0.9139,0.6481,0.8182,0.9061
EXTENDED_FOLD_IMPUTED,xgboost,raw,0.9058,0.9061,0.6271,0.7998,0.8873
