budget,config,n_contexts,n_feasible_solutions,n_safe_contexts,safe_context_availability,feasible_ratio,hv_feasible,igd_plus,spacing,hv_seed_mean,hv_seed_std,worst_mine_safe,per_mine_safe
240,NSGA3_C0,300,12757,300,1.0,0.035436,1.33092,1e-05,0.00932,1.33015,0.00066,50,"{""GX-M01"": 50, ""GX-M02"": 50, ""GZ-M01"": 50, ""GZ-M02"": 50, ""YN-M01"": 50, ""YN-M02"": 50}"
240,NSGA3_C2,300,12757,300,1.0,0.035436,1.33092,1e-05,0.00932,1.33015,0.00066,50,"{""GX-M01"": 50, ""GX-M02"": 50, ""GZ-M01"": 50, ""GZ-M02"": 50, ""YN-M01"": 50, ""YN-M02"": 50}"
240,NSGA3_C4,300,11727,297,0.99,0.032575,1.33058,0.00014,0.02936,1.32953,0.00069,48,"{""GX-M01"": 49, ""GX-M02"": 50, ""GZ-M01"": 50, ""GZ-M02"": 50, ""YN-M01"": 50, ""YN-M02"": 48}"
240,NSGA3_C5,300,3332,124,0.4133,0.009256,1.33003,0.00087,0.01766,1.30681,0.0208,13,"{""GX-M01"": 14, ""GX-M02"": 19, ""GZ-M01"": 13, ""GZ-M02"": 19, ""YN-M01"": 37, ""YN-M02"": 22}"
240,NSGA3_C7,300,2885,116,0.3867,0.008014,1.32052,0.02072,0.03063,1.30864,0.00608,13,"{""GX-M01"": 13, ""GX-M02"": 18, ""GZ-M01"": 13, ""GZ-M02"": 17, ""YN-M01"": 33, ""YN-M02"": 22}"
240,NSGA2_C0,300,33055,300,1.0,0.091819,1.33081,0.0,0.04944,1.33049,0.00039,50,"{""GX-M01"": 50, ""GX-M02"": 50, ""GZ-M01"": 50, ""GZ-M02"": 50, ""YN-M01"": 50, ""YN-M02"": 50}"
240,random_C0,300,360000,300,1.0,1.0,1.32624,0.01184,0.04337,1.32235,0.00288,50,"{""GX-M01"": 50, ""GX-M02"": 50, ""GZ-M01"": 50, ""GZ-M02"": 50, ""YN-M01"": 50, ""YN-M02"": 50}"
1000,NSGA3_C0,300,14799,300,1.0,0.009866,1.33091,0.0,0.01153,1.33087,0.00018,50,"{""GX-M01"": 50, ""GX-M02"": 50, ""GZ-M01"": 50, ""GZ-M02"": 50, ""YN-M01"": 50, ""YN-M02"": 50}"
1000,NSGA3_C2,300,14799,300,1.0,0.009866,1.33091,0.0,0.01153,1.33087,0.00018,50,"{""GX-M01"": 50, ""GX-M02"": 50, ""GZ-M01"": 50, ""GZ-M02"": 50, ""YN-M01"": 50, ""YN-M02"": 50}"
1000,NSGA3_C4,300,14419,297,0.99,0.009613,1.33086,0.0,0.01944,1.33088,0.00011,48,"{""GX-M01"": 49, ""GX-M02"": 50, ""GZ-M01"": 50, ""GZ-M02"": 50, ""YN-M01"": 50, ""YN-M02"": 48}"
1000,NSGA3_C5,300,5051,133,0.4433,0.003367,1.32752,0.00766,0.08384,1.32843,0.0021,15,"{""GX-M01"": 15, ""GX-M02"": 20, ""GZ-M01"": 16, ""GZ-M02"": 21, ""YN-M01"": 37, ""YN-M02"": 24}"
1000,NSGA3_C7,300,4682,132,0.44,0.003121,1.32758,0.00631,0.04098,1.3256,0.00453,15,"{""GX-M01"": 15, ""GX-M02"": 21, ""GZ-M01"": 16, ""GZ-M02"": 20, ""YN-M01"": 36, ""YN-M02"": 24}"
1000,NSGA2_C0,300,58863,300,1.0,0.039242,1.3307,1e-05,0.04152,1.33044,0.00017,50,"{""GX-M01"": 50, ""GX-M02"": 50, ""GZ-M01"": 50, ""GZ-M02"": 50, ""YN-M01"": 50, ""YN-M02"": 50}"
1000,random_C0,300,1500000,300,1.0,1.0,1.32952,0.0039,0.05506,1.3269,0.00171,50,"{""GX-M01"": 50, ""GX-M02"": 50, ""GZ-M01"": 50, ""GZ-M02"": 50, ""YN-M01"": 50, ""YN-M02"": 50}"
5000,NSGA3_C0,60,3047,60,1.0,0.002031,1.33003,0.0,0.01496,1.3302,0.00045,10,"{""GX-M01"": 10, ""GX-M02"": 10, ""GZ-M01"": 10, ""GZ-M02"": 10, ""YN-M01"": 10, ""YN-M02"": 10}"
5000,NSGA3_C2,60,3047,60,1.0,0.002031,1.33003,0.0,0.01496,1.3302,0.00045,10,"{""GX-M01"": 10, ""GX-M02"": 10, ""GZ-M01"": 10, ""GZ-M02"": 10, ""YN-M01"": 10, ""YN-M02"": 10}"
5000,NSGA3_C4,60,2974,60,1.0,0.001983,1.32966,0.0,0.02518,1.32942,0.00052,10,"{""GX-M01"": 10, ""GX-M02"": 10, ""GZ-M01"": 10, ""GZ-M02"": 10, ""YN-M01"": 10, ""YN-M02"": 10}"
5000,NSGA3_C5,60,1400,32,0.5333,0.000933,1.32198,0.0007,0.04745,1.31874,0.00406,2,"{""GX-M01"": 5, ""GX-M02"": 2, ""GZ-M01"": 6, ""GZ-M02"": 6, ""YN-M01"": 9, ""YN-M02"": 4}"
5000,NSGA3_C7,60,1303,31,0.5167,0.000869,1.32087,0.0,0.03544,1.31663,0.00303,2,"{""GX-M01"": 5, ""GX-M02"": 2, ""GZ-M01"": 6, ""GZ-M02"": 6, ""YN-M01"": 8, ""YN-M02"": 4}"
